KEGGgene	Module	Organism
reh:H16_A2596	md:reh_M00036	Cupriavidus
reh:H16_B0014	md:reh_M00036	Cupriavidus
reh:H16_A0101	md:reh_M00036	Cupriavidus
reh:H16_B0683	md:reh_M00036	Cupriavidus
reh:H16_B0703	md:reh_M00036	Cupriavidus
reh:H16_B0721	md:reh_M00036	Cupriavidus
reh:H16_B0722	md:reh_M00036	Cupriavidus
reh:H16_B0913	md:reh_M00036	Cupriavidus
reh:H16_B2157	md:reh_M00036	Cupriavidus
reh:H16_B1826	md:reh_M00036	Cupriavidus
reh:H16_A1091	md:reh_M00036	Cupriavidus
reh:H16_B0699	md:reh_M00036	Cupriavidus
reh:H16_A2458	md:reh_M00036	Cupriavidus
reh:H16_B0087	md:reh_M00036	Cupriavidus
reh:H16_A1291	md:reh_M00036	Cupriavidus
reh:H16_A1974	md:reh_M00036	Cupriavidus
reh:H16_A0184	md:reh_M00036	Cupriavidus
reh:H16_A1973	md:reh_M00036	Cupriavidus
reh:H16_A0177	md:reh_M00036	Cupriavidus
reh:H16_A0179	md:reh_M00036	Cupriavidus
reh:H16_A1235	md:reh_M00036	Cupriavidus
reh:H16_A1547	md:reh_M00036	Cupriavidus
reh:H16_A2385	md:reh_M00036	Cupriavidus
reh:H16_A0186	md:reh_M00036	Cupriavidus
reh:H16_B2494	md:reh_M00036	Cupriavidus
reh:H16_B0615	md:reh_M00036	Cupriavidus
reh:H16_B1418	md:reh_M00038	Cupriavidus
reh:H16_A2816	md:reh_M00038	Cupriavidus
reh:H16_B1997	md:reh_M00038	Cupriavidus
reh:H16_A2814	md:reh_M00038	Cupriavidus
reh:H16_A2815	md:reh_M00038	Cupriavidus
reh:H16_B0330	md:reh_M00038	Cupriavidus
reh:H16_B0547	md:reh_M00038	Cupriavidus
reh:H16_A0792	md:reh_M00040	Cupriavidus
reh:H16_A1151	md:reh_M00040	Cupriavidus
reh:H16_B1081	md:reh_M00040	Cupriavidus
reh:H16_A1494	md:reh_M00040	Cupriavidus
reh:H16_A1151	md:reh_M00044	Cupriavidus
reh:H16_B1081	md:reh_M00044	Cupriavidus
reh:H16_A1494	md:reh_M00044	Cupriavidus
reh:H16_B1083	md:reh_M00044	Cupriavidus
reh:H16_B1671	md:reh_M00044	Cupriavidus
reh:H16_B0875	md:reh_M00044	Cupriavidus
reh:H16_B1670	md:reh_M00044	Cupriavidus
reh:H16_A0143	md:reh_M00044	Cupriavidus
reh:H16_A3018	md:reh_M00045	Cupriavidus
reh:H16_A3017	md:reh_M00045	Cupriavidus
reh:H16_A0695	md:reh_M00045	Cupriavidus
reh:H16_A3015	md:reh_M00045	Cupriavidus
reh:H16_A0044	md:reh_M00045	Cupriavidus
reh:H16_A3014	md:reh_M00045	Cupriavidus
reh:H16_A3013	md:reh_M00045	Cupriavidus
reh:H16_A1306	md:reh_M00045	Cupriavidus
reh:H16_A3649	md:reh_M00045	Cupriavidus
reh:H16_A3075	md:reh_M00046	Cupriavidus
reh:H16_A0068	md:reh_M00046	Cupriavidus
reh:H16_A1734	md:reh_M00046	Cupriavidus
reh:H16_A3589	md:reh_M00046	Cupriavidus
reh:H16_B2014	md:reh_M00046	Cupriavidus
reh:H16_B2069	md:reh_M00046	Cupriavidus
reh:H16_A1475	md:reh_M00046	Cupriavidus
reh:H16_A2607	md:reh_M00048	Cupriavidus
reh:H16_A0915	md:reh_M00048	Cupriavidus
reh:H16_A3042	md:reh_M00048	Cupriavidus
reh:H16_A1892	md:reh_M00048	Cupriavidus
reh:H16_A1511	md:reh_M00048	Cupriavidus
reh:H16_A3077	md:reh_M00048	Cupriavidus
reh:H16_A0571	md:reh_M00048	Cupriavidus
reh:H16_A0570	md:reh_M00048	Cupriavidus
reh:H16_A0569	md:reh_M00048	Cupriavidus
reh:H16_A3124	md:reh_M00048	Cupriavidus
reh:H16_A0501	md:reh_M00048	Cupriavidus
reh:H16_A2354	md:reh_M00049	Cupriavidus
reh:H16_B1994	md:reh_M00049	Cupriavidus
reh:H16_A3124	md:reh_M00049	Cupriavidus
reh:H16_A0603	md:reh_M00049	Cupriavidus
reh:H16_A2368	md:reh_M00049	Cupriavidus
reh:H16_A0567	md:reh_M00049	Cupriavidus
reh:H16_B0961	md:reh_M00049	Cupriavidus
reh:H16_A3602	md:reh_M00049	Cupriavidus
reh:H16_A2030	md:reh_M00050	Cupriavidus
reh:H16_A2028	md:reh_M00050	Cupriavidus
reh:H16_A1917	md:reh_M00050	Cupriavidus
reh:H16_A0953	md:reh_M00050	Cupriavidus
reh:H16_A2368	md:reh_M00050	Cupriavidus
reh:H16_A0567	md:reh_M00050	Cupriavidus
reh:H16_B0961	md:reh_M00050	Cupriavidus
reh:H16_A3602	md:reh_M00050	Cupriavidus
reh:H16_A0479	md:reh_M00051	Cupriavidus
reh:H16_A2912	md:reh_M00051	Cupriavidus
reh:H16_A2452	md:reh_M00051	Cupriavidus
reh:H16_A2106	md:reh_M00051	Cupriavidus
reh:H16_A2454	md:reh_M00051	Cupriavidus
reh:H16_A2913	md:reh_M00051	Cupriavidus
reh:H16_A0479	md:reh_M00051	Cupriavidus
reh:H16_A2912	md:reh_M00051	Cupriavidus
reh:H16_A1401	md:reh_M00051	Cupriavidus
reh:H16_A0224	md:reh_M00051	Cupriavidus
reh:H16_A3157	md:reh_M00051	Cupriavidus
reh:H16_A2053	md:reh_M00052	Cupriavidus
reh:H16_A2368	md:reh_M00052	Cupriavidus
reh:H16_A1185	md:reh_M00052	Cupriavidus
reh:H16_A2390	md:reh_M00053	Cupriavidus
reh:H16_A3235	md:reh_M00053	Cupriavidus
reh:H16_A3234	md:reh_M00053	Cupriavidus
reh:H16_A2368	md:reh_M00053	Cupriavidus
reh:H16_A2043	md:reh_M00060	Cupriavidus
reh:H16_A3266	md:reh_M00060	Cupriavidus
reh:H16_A2045	md:reh_M00060	Cupriavidus
reh:H16_A1217	md:reh_M00060	Cupriavidus
reh:H16_A2042	md:reh_M00060	Cupriavidus
reh:H16_A0606	md:reh_M00060	Cupriavidus
reh:H16_A2883	md:reh_M00060	Cupriavidus
reh:H16_B0917	md:reh_M00060	Cupriavidus
reh:H16_A0228	md:reh_M00060	Cupriavidus
reh:H16_A0229	md:reh_M00060	Cupriavidus
reh:H16_A1937	md:reh_M00061	Cupriavidus
reh:H16_A1935	md:reh_M00061	Cupriavidus
reh:H16_B1212	md:reh_M00061	Cupriavidus
reh:H16_B1812	md:reh_M00061	Cupriavidus
reh:H16_B1213	md:reh_M00061	Cupriavidus
reh:H16_A0391	md:reh_M00063	Cupriavidus
reh:H16_A1186	md:reh_M00063	Cupriavidus
reh:H16_A0604	md:reh_M00063	Cupriavidus
reh:H16_A3578	md:reh_M00064	Cupriavidus
reh:PHG074	md:reh_M00064	Cupriavidus
reh:H16_A0803	md:reh_M00064	Cupriavidus
reh:H16_A0520	md:reh_M00064	Cupriavidus
reh:H16_A0138	md:reh_M00064	Cupriavidus
reh:H16_A0804	md:reh_M00064	Cupriavidus
reh:H16_B2171	md:reh_M00066	Cupriavidus
reh:H16_A3171	md:reh_M00082	Cupriavidus
reh:H16_A3172	md:reh_M00082	Cupriavidus
reh:H16_B1757	md:reh_M00082	Cupriavidus
reh:H16_A1223	md:reh_M00082	Cupriavidus
reh:H16_A2611	md:reh_M00082	Cupriavidus
reh:H16_A2568	md:reh_M00082	Cupriavidus
reh:H16_A2569	md:reh_M00082	Cupriavidus
reh:H16_B1667	md:reh_M00083	Cupriavidus
reh:H16_A2565	md:reh_M00083	Cupriavidus
reh:H16_A1287	md:reh_M00083	Cupriavidus
reh:H16_A2567	md:reh_M00083	Cupriavidus
reh:H16_B1798	md:reh_M00083	Cupriavidus
reh:H16_B0385	md:reh_M00083	Cupriavidus
reh:H16_B2510	md:reh_M00083	Cupriavidus
reh:H16_B1904	md:reh_M00083	Cupriavidus
reh:H16_B0361	md:reh_M00083	Cupriavidus
reh:H16_B0666	md:reh_M00083	Cupriavidus
reh:H16_A0743	md:reh_M00083	Cupriavidus
reh:H16_B0101	md:reh_M00083	Cupriavidus
reh:H16_A0931	md:reh_M00083	Cupriavidus
reh:H16_A3164	md:reh_M00083	Cupriavidus
reh:H16_A0849	md:reh_M00083	Cupriavidus
reh:H16_B1834	md:reh_M00083	Cupriavidus
reh:H16_A2473	md:reh_M00083	Cupriavidus
reh:H16_A2044	md:reh_M00083	Cupriavidus
reh:H16_A2410	md:reh_M00083	Cupriavidus
reh:H16_B1629	md:reh_M00083	Cupriavidus
reh:H16_A3288	md:reh_M00086	Cupriavidus
reh:H16_A2150	md:reh_M00086	Cupriavidus
reh:H16_A0285	md:reh_M00086	Cupriavidus
reh:H16_A2748	md:reh_M00086	Cupriavidus
reh:H16_A2947	md:reh_M00086	Cupriavidus
reh:H16_B0753	md:reh_M00086	Cupriavidus
reh:H16_B1239	md:reh_M00086	Cupriavidus
reh:H16_A3351	md:reh_M00086	Cupriavidus
reh:H16_B1736	md:reh_M00086	Cupriavidus
reh:H16_A1295	md:reh_M00086	Cupriavidus
reh:PHG399	md:reh_M00086	Cupriavidus
reh:H16_B1367	md:reh_M00087	Cupriavidus
reh:H16_A2596	md:reh_M00087	Cupriavidus
reh:H16_B0014	md:reh_M00087	Cupriavidus
reh:H16_A0101	md:reh_M00087	Cupriavidus
reh:H16_B0683	md:reh_M00087	Cupriavidus
reh:H16_B0703	md:reh_M00087	Cupriavidus
reh:H16_B0721	md:reh_M00087	Cupriavidus
reh:H16_B0722	md:reh_M00087	Cupriavidus
reh:H16_B0913	md:reh_M00087	Cupriavidus
reh:H16_B2157	md:reh_M00087	Cupriavidus
reh:H16_B1826	md:reh_M00087	Cupriavidus
reh:H16_A1091	md:reh_M00087	Cupriavidus
reh:H16_B0699	md:reh_M00087	Cupriavidus
reh:H16_A2458	md:reh_M00087	Cupriavidus
reh:H16_B0087	md:reh_M00087	Cupriavidus
reh:H16_A1291	md:reh_M00087	Cupriavidus
reh:H16_B0657	md:reh_M00087	Cupriavidus
reh:H16_A0142	md:reh_M00087	Cupriavidus
reh:H16_A1889	md:reh_M00087	Cupriavidus
reh:H16_B0659	md:reh_M00087	Cupriavidus
reh:H16_A3307	md:reh_M00087	Cupriavidus
reh:H16_A1526	md:reh_M00087	Cupriavidus
reh:H16_B0724	md:reh_M00087	Cupriavidus
reh:H16_A0461	md:reh_M00087	Cupriavidus
reh:H16_A1290	md:reh_M00087	Cupriavidus
reh:H16_B0200	md:reh_M00087	Cupriavidus
reh:H16_A0462	md:reh_M00087	Cupriavidus
reh:H16_A1297	md:reh_M00088	Cupriavidus
reh:H16_A1438	md:reh_M00088	Cupriavidus
reh:H16_A1445	md:reh_M00088	Cupriavidus
reh:H16_A1528	md:reh_M00088	Cupriavidus
reh:H16_A2148	md:reh_M00088	Cupriavidus
reh:H16_B1369	md:reh_M00088	Cupriavidus
reh:H16_A1887	md:reh_M00088	Cupriavidus
reh:H16_A0867	md:reh_M00088	Cupriavidus
reh:H16_A0868	md:reh_M00088	Cupriavidus
reh:H16_A0872	md:reh_M00088	Cupriavidus
reh:H16_A1713	md:reh_M00088	Cupriavidus
reh:H16_A1720	md:reh_M00088	Cupriavidus
reh:H16_A0170	md:reh_M00088	Cupriavidus
reh:H16_B0662	md:reh_M00088	Cupriavidus
reh:H16_B0668	md:reh_M00088	Cupriavidus
reh:H16_B0759	md:reh_M00088	Cupriavidus
reh:H16_B0406	md:reh_M00088	Cupriavidus
reh:H16_B0381	md:reh_M00088	Cupriavidus
reh:H16_B0380	md:reh_M00088	Cupriavidus
reh:H16_B1771	md:reh_M00088	Cupriavidus
reh:H16_A1235	md:reh_M00088	Cupriavidus
reh:H16_A1547	md:reh_M00088	Cupriavidus
reh:H16_A2385	md:reh_M00088	Cupriavidus
reh:H16_A0186	md:reh_M00088	Cupriavidus
reh:H16_B2494	md:reh_M00088	Cupriavidus
reh:H16_B0615	md:reh_M00088	Cupriavidus
