KEGGgene	EC	Organism
reh:H16_A2862	ec:3.1.1.75	Cupriavidus
reh:H16_A2863	ec:5.1.3.3	Cupriavidus
reh:H16_A2871	ec:3.6.1.27	Cupriavidus
reh:H16_A2877	ec:2.1.1.77	Cupriavidus
reh:H16_A2893	ec:2.7.7.33	Cupriavidus
reh:H16_A2995	ec:2.7.7.4	Cupriavidus
reh:H16_B0353	ec:4.1.3.34	Cupriavidus
reh:H16_A2900	ec:4.2.1.47	Cupriavidus
reh:H16_B0496	ec:1.14.14.9	Cupriavidus
reh:H16_A2906	ec:5.1.3.13	Cupriavidus
reh:H16_A2907	ec:2.7.7.24	Cupriavidus
reh:H16_A2908	ec:1.1.1.133	Cupriavidus
reh:H16_A2909	ec:4.2.1.46	Cupriavidus
reh:H16_A2911	ec:2.3.1.51	Cupriavidus
reh:H16_A2912	ec:3.5.2.3	Cupriavidus
reh:H16_A2920	ec:2.5.1.61	Cupriavidus
reh:H16_A2921	ec:4.1.1.31	Cupriavidus
reh:H16_A2925	ec:4.3.2.1	Cupriavidus
reh:H16_A2931	ec:3.5.4.13	Cupriavidus
reh:H16_A3167	ec:6.3.2.45	Cupriavidus
reh:H16_A2947	ec:6.2.1.3	Cupriavidus
reh:H16_B0658	ec:1.13.12.16	Cupriavidus
reh:H16_A2968	ec:2.4.2.21	Cupriavidus
reh:H16_A0314	ec:3.5.1.25	Cupriavidus
reh:H16_A0316	ec:1.1.1.49	Cupriavidus
reh:H16_A0316	ec:1.1.1.363	Cupriavidus
reh:H16_A0322	ec:6.3.2.2	Cupriavidus
reh:H16_A0323	ec:6.3.2.3	Cupriavidus
reh:H16_A0867	ec:2.3.1.9	Cupriavidus
reh:H16_A0868	ec:2.3.1.9	Cupriavidus
reh:H16_A0872	ec:2.3.1.9	Cupriavidus
reh:H16_A0896	ec:2.1.1.228	Cupriavidus
reh:H16_A1265	ec:1.6.1.2	Cupriavidus
reh:H16_A1265	ec:7.1.1.1	Cupriavidus
reh:H16_A1266	ec:1.6.1.2	Cupriavidus
reh:H16_A1266	ec:7.1.1.1	Cupriavidus
reh:H16_A0913	ec:2.7.7.18	Cupriavidus
reh:H16_A0914	ec:1.3.3.3	Cupriavidus
reh:H16_A0915	ec:6.3.4.13	Cupriavidus
reh:H16_A1380	ec:1.97.1.4	Cupriavidus
reh:H16_A0918	ec:2.4.2.9	Cupriavidus
reh:H16_A0923	ec:5.2.1.1	Cupriavidus
reh:H16_A0932	ec:4.2.3.3	Cupriavidus
reh:H16_A0949	ec:2.7.7.56	Cupriavidus
reh:H16_A0953	ec:2.7.4.8	Cupriavidus
reh:H16_A1569	ec:2.7.4.9	Cupriavidus
reh:H16_A1603	ec:2.5.1.16	Cupriavidus
reh:H16_A1616	ec:6.2.1.1	Cupriavidus
reh:H16_A1622	ec:2.1.1.77	Cupriavidus
reh:H16_A1630	ec:1.18.1.3	Cupriavidus
reh:H16_A1648	ec:2.5.1.18	Cupriavidus
reh:H16_A1656	ec:2.7.7.5	Cupriavidus
reh:H16_A1656	ec:2.7.7.53	Cupriavidus
reh:H16_A1679	ec:4.1.99.3	Cupriavidus
reh:H16_A1713	ec:2.3.1.9	Cupriavidus
reh:H16_A1715	ec:1.1.1.169	Cupriavidus
reh:H16_A1720	ec:2.3.1.9	Cupriavidus
reh:H16_A1960	ec:1.3.1.25	Cupriavidus
reh:H16_A1964	ec:1.13.11.1	Cupriavidus
reh:H16_A1966	ec:5.5.1.1	Cupriavidus
reh:H16_A1967	ec:5.3.3.4	Cupriavidus
reh:H16_A1968	ec:3.1.1.24	Cupriavidus
reh:H16_A1972	ec:1.3.8.4	Cupriavidus
reh:H16_A1975	ec:2.5.1.6	Cupriavidus
reh:H16_A2002	ec:1.1.1.36	Cupriavidus
reh:H16_A2009	ec:1.4.1.1	Cupriavidus
reh:H16_A2012	ec:2.4.2.4	Cupriavidus
reh:H16_A1403	ec:2.3.2.6	Cupriavidus
reh:H16_A1412	ec:6.2.1.25	Cupriavidus
reh:H16_B1385	ec:2.7.2.3	Cupriavidus
reh:H16_B1386	ec:1.2.1.12	Cupriavidus
reh:H16_B1387	ec:3.1.3.18	Cupriavidus
reh:H16_B1388	ec:2.2.1.1	Cupriavidus
reh:H16_A3128	ec:1.6.1.2	Cupriavidus
reh:H16_A3128	ec:7.1.1.1	Cupriavidus
reh:H16_A0328	ec:1.16.3.1	Cupriavidus
reh:H16_B2270	ec:4.2.1.1	Cupriavidus
reh:H16_A0123	ec:2.8.1.8	Cupriavidus
reh:H16_A2806	ec:1.8.4.11	Cupriavidus
reh:H16_A2959	ec:6.3.2.1	Cupriavidus
reh:H16_A3339	ec:1.2.1.70	Cupriavidus
reh:H16_A0122	ec:2.3.1.181	Cupriavidus
reh:H16_B0788	ec:2.4.1.12	Cupriavidus
reh:H16_B1296	ec:7.3.2.2	Cupriavidus
reh:H16_A2962	ec:2.7.1.156	Cupriavidus
